================ Training Loss (Thu Aug 12 04:25:34 2021) ================
================ Training Loss (Thu Aug 12 04:29:10 2021) ================
================ Training Loss (Thu Aug 12 04:36:08 2021) ================
================ Training Loss (Thu Aug 12 04:37:50 2021) ================
(epoch: 1, iters: 100, time: 0.076, data: 0.104) G_GAN: 2.039 G_L1: 30.131 D_real: 0.323 D_fake: 0.279 
(epoch: 1, iters: 200, time: 0.081, data: 0.003) G_GAN: 2.534 G_L1: 27.448 D_real: 0.230 D_fake: 0.054 
(epoch: 1, iters: 300, time: 0.081, data: 0.002) G_GAN: 3.057 G_L1: 36.804 D_real: 0.044 D_fake: 0.242 
(epoch: 1, iters: 400, time: 0.164, data: 0.001) G_GAN: 2.319 G_L1: 31.593 D_real: 0.040 D_fake: 1.730 
(epoch: 2, iters: 100, time: 0.084, data: 0.249) G_GAN: 2.417 G_L1: 31.282 D_real: 0.404 D_fake: 0.114 
================ Training Loss (Thu Aug 12 04:40:18 2021) ================
(epoch: 1, iters: 100, time: 0.079, data: 0.129) G_GAN: 2.578 G_L1: 40.614 D_real: 0.094 D_fake: 0.141 
(epoch: 1, iters: 200, time: 0.080, data: 0.002) G_GAN: 1.310 G_L1: 30.349 D_real: 0.724 D_fake: 0.104 
================ Training Loss (Thu Aug 12 04:40:37 2021) ================
================ Training Loss (Thu Aug 12 04:41:51 2021) ================
(epoch: 1, iters: 100, time: 0.080, data: 0.166) G_GAN: 3.088 G_L1: 35.066 D_real: 0.157 D_fake: 0.173 
(epoch: 1, iters: 200, time: 0.081, data: 0.002) G_GAN: 3.273 G_L1: 41.757 D_real: 0.095 D_fake: 0.016 
(epoch: 1, iters: 300, time: 0.080, data: 0.002) G_GAN: 3.922 G_L1: 36.632 D_real: 0.018 D_fake: 0.140 
(epoch: 1, iters: 400, time: 0.164, data: 0.002) G_GAN: 4.232 G_L1: 46.542 D_real: 0.003 D_fake: 0.024 
(epoch: 2, iters: 100, time: 0.085, data: 0.251) G_GAN: 4.530 G_L1: 47.132 D_real: 0.004 D_fake: 0.031 
(epoch: 2, iters: 200, time: 0.085, data: 0.003) G_GAN: 6.743 G_L1: 46.389 D_real: 0.009 D_fake: 0.010 
(epoch: 2, iters: 300, time: 0.082, data: 0.004) G_GAN: 5.114 G_L1: 29.275 D_real: 0.003 D_fake: 0.031 
================ Training Loss (Thu Aug 12 04:42:51 2021) ================
(epoch: 1, iters: 100, time: 0.081, data: 0.193) G_GAN: 2.843 G_L1: 43.220 D_real: 0.129 D_fake: 0.102 
(epoch: 1, iters: 200, time: 0.081, data: 0.002) G_GAN: 5.379 G_L1: 42.690 D_real: 0.014 D_fake: 0.006 
(epoch: 1, iters: 300, time: 0.080, data: 0.002) G_GAN: 4.021 G_L1: 28.684 D_real: 0.036 D_fake: 0.030 
(epoch: 1, iters: 400, time: 0.171, data: 0.002) G_GAN: 5.334 G_L1: 29.201 D_real: 0.062 D_fake: 0.006 
(epoch: 2, iters: 100, time: 0.085, data: 0.286) G_GAN: 1.151 G_L1: 33.301 D_real: 0.913 D_fake: 0.018 
(epoch: 2, iters: 200, time: 0.085, data: 0.002) G_GAN: 3.374 G_L1: 31.927 D_real: 0.124 D_fake: 0.080 
(epoch: 2, iters: 300, time: 0.085, data: 0.002) G_GAN: 2.977 G_L1: 39.274 D_real: 0.170 D_fake: 0.728 
(epoch: 2, iters: 400, time: 0.198, data: 0.002) G_GAN: 3.124 G_L1: 31.855 D_real: 0.077 D_fake: 0.513 
(epoch: 3, iters: 100, time: 0.086, data: 0.293) G_GAN: 5.491 G_L1: 28.965 D_real: 0.021 D_fake: 0.602 
(epoch: 3, iters: 200, time: 0.087, data: 0.003) G_GAN: 1.293 G_L1: 30.895 D_real: 0.412 D_fake: 0.064 
(epoch: 3, iters: 300, time: 0.085, data: 0.002) G_GAN: 1.127 G_L1: 29.761 D_real: 0.762 D_fake: 0.070 
(epoch: 3, iters: 400, time: 0.190, data: 0.002) G_GAN: 4.778 G_L1: 33.909 D_real: 0.152 D_fake: 0.039 
(epoch: 4, iters: 100, time: 0.085, data: 0.258) G_GAN: 4.728 G_L1: 29.159 D_real: 0.030 D_fake: 0.013 
(epoch: 4, iters: 200, time: 0.085, data: 0.002) G_GAN: 3.712 G_L1: 30.855 D_real: 0.013 D_fake: 0.370 
(epoch: 4, iters: 300, time: 0.085, data: 0.002) G_GAN: 4.714 G_L1: 40.493 D_real: 0.021 D_fake: 0.034 
================ Training Loss (Thu Aug 12 04:44:45 2021) ================
================ Training Loss (Thu Aug 12 04:50:52 2021) ================
================ Training Loss (Thu Aug 12 04:52:46 2021) ================
(epoch: 1, iters: 100, time: 0.081, data: 0.189) G_GAN: 2.279 G_L1: 36.568 D_real: 0.166 D_fake: 0.183 
================ Training Loss (Thu Aug 12 04:53:35 2021) ================
(epoch: 1, iters: 100, time: 0.069, data: 0.208) G_GAN: 3.864 G_L1: 38.325 D_real: 0.069 D_fake: 0.029 
================ Training Loss (Thu Aug 12 04:54:27 2021) ================
================ Training Loss (Thu Aug 12 04:58:05 2021) ================
(epoch: 1, iters: 100, time: 0.067, data: 0.149) G_GAN: 2.989 G_L1: 34.611 D_real: 0.078 D_fake: 0.081 
(epoch: 1, iters: 200, time: 0.067, data: 0.002) G_GAN: 5.692 G_L1: 30.642 D_real: 0.006 D_fake: 0.005 
(epoch: 1, iters: 300, time: 0.067, data: 0.002) G_GAN: 5.962 G_L1: 40.390 D_real: 0.004 D_fake: 0.003 
(epoch: 1, iters: 400, time: 0.162, data: 0.002) G_GAN: 5.372 G_L1: 44.314 D_real: 0.006 D_fake: 0.009 
(epoch: 2, iters: 100, time: 0.073, data: 0.281) G_GAN: 6.493 G_L1: 33.311 D_real: 0.005 D_fake: 0.002 
(epoch: 2, iters: 200, time: 0.072, data: 0.003) G_GAN: 5.286 G_L1: 39.327 D_real: 0.002 D_fake: 0.010 
(epoch: 2, iters: 300, time: 0.072, data: 0.002) G_GAN: 5.257 G_L1: 36.073 D_real: 0.002 D_fake: 0.009 
(epoch: 2, iters: 400, time: 0.163, data: 0.002) G_GAN: 8.078 G_L1: 25.610 D_real: 0.001 D_fake: 0.000 
(epoch: 3, iters: 100, time: 0.072, data: 0.291) G_GAN: 8.392 G_L1: 53.834 D_real: 0.000 D_fake: 0.000 
(epoch: 3, iters: 200, time: 0.073, data: 0.002) G_GAN: 6.044 G_L1: 28.080 D_real: 0.002 D_fake: 0.005 
(epoch: 3, iters: 300, time: 0.072, data: 0.002) G_GAN: 7.463 G_L1: 35.252 D_real: 0.002 D_fake: 0.001 
(epoch: 3, iters: 400, time: 0.173, data: 0.002) G_GAN: 8.655 G_L1: 42.361 D_real: 0.000 D_fake: 0.000 
(epoch: 4, iters: 100, time: 0.073, data: 0.287) G_GAN: 5.648 G_L1: 38.664 D_real: 0.003 D_fake: 0.005 
(epoch: 4, iters: 200, time: 0.071, data: 0.002) G_GAN: 4.830 G_L1: 29.583 D_real: 0.005 D_fake: 0.035 
(epoch: 4, iters: 300, time: 0.072, data: 0.002) G_GAN: 8.577 G_L1: 39.603 D_real: 0.001 D_fake: 0.000 
(epoch: 4, iters: 400, time: 0.156, data: 0.002) G_GAN: 6.113 G_L1: 33.888 D_real: 0.001 D_fake: 0.004 
(epoch: 5, iters: 100, time: 0.072, data: 0.271) G_GAN: 4.634 G_L1: 33.323 D_real: 0.004 D_fake: 0.037 
(epoch: 5, iters: 200, time: 0.072, data: 0.002) G_GAN: 6.254 G_L1: 42.120 D_real: 0.004 D_fake: 0.004 
(epoch: 5, iters: 300, time: 0.071, data: 0.002) G_GAN: 7.644 G_L1: 26.797 D_real: 0.001 D_fake: 0.001 
(epoch: 5, iters: 400, time: 0.166, data: 0.002) G_GAN: 7.379 G_L1: 29.030 D_real: 0.001 D_fake: 0.002 
(epoch: 6, iters: 100, time: 0.071, data: 0.260) G_GAN: 8.155 G_L1: 43.498 D_real: 0.000 D_fake: 0.000 
(epoch: 6, iters: 200, time: 0.072, data: 0.002) G_GAN: 8.245 G_L1: 31.819 D_real: 0.000 D_fake: 0.000 
(epoch: 6, iters: 300, time: 0.072, data: 0.002) G_GAN: 8.287 G_L1: 48.195 D_real: 0.000 D_fake: 0.000 
(epoch: 6, iters: 400, time: 0.152, data: 0.002) G_GAN: 8.719 G_L1: 53.106 D_real: 0.000 D_fake: 0.000 
(epoch: 7, iters: 100, time: 0.072, data: 0.315) G_GAN: 8.810 G_L1: 45.864 D_real: 0.000 D_fake: 0.000 
